[2023-11-06 15:47:38.808] [pxr_streamer] [info] ***********  Log Begin **********
[2023-11-06 15:47:38.808] [pxr_streamer] [info] process id= 19224
[2023-11-06 15:47:38.808] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 由于目标计算机积极拒绝，无法连接。, this = 0xff99cce0
[2023-11-06 15:47:38.810] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xff99cce0
[2023-11-06 15:47:38.810] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xff99cce0
[2023-11-06 15:47:41.866] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 由于目标计算机积极拒绝，无法连接。, this = 0xff99cce0
[2023-11-06 15:47:44.902] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 由于目标计算机积极拒绝，无法连接。, this = 0xff99cce0
[2023-11-06 15:47:47.950] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 由于目标计算机积极拒绝，无法连接。, this = 0xff99cce0
[2023-11-06 15:47:50.999] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 由于目标计算机积极拒绝，无法连接。, this = 0xff99cce0
[2023-11-06 15:47:54.042] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 由于目标计算机积极拒绝，无法连接。, this = 0xff99cce0
[2023-11-06 15:47:57.081] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 由于目标计算机积极拒绝，无法连接。, this = 0xff99cce0
[2023-11-06 15:48:00.127] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 由于目标计算机积极拒绝，无法连接。, this = 0xff99cce0
[2023-11-06 15:48:03.160] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 由于目标计算机积极拒绝，无法连接。, this = 0xff99cce0
