[2023-11-06 17:51:29.567] [pxr_streamer] [info] ***********  Log Begin **********
[2023-11-06 17:51:29.567] [pxr_streamer] [info] process id= 27556
[2023-11-06 17:51:29.567] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:51:29.571] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x93aa5a30
[2023-11-06 17:51:29.571] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x93aa5a30
[2023-11-06 17:51:32.604] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:51:35.652] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:51:38.692] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:51:41.729] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:51:44.770] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:51:47.808] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:51:50.845] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:51:53.872] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:51:56.912] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:51:59.943] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:52:02.982] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
[2023-11-06 17:52:06.035] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x93aa5a30
