[2023-11-02 00:23:01.654] [pxr_streamer] [info] ***********  Log Begin **********
[2023-11-02 00:23:01.654] [pxr_streamer] [info] process id= 3968
[2023-11-02 00:23:01.654] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:01.658] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xf5841dd0
[2023-11-02 00:23:01.658] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xf5841dd0
[2023-11-02 00:23:04.703] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:07.733] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:10.767] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:13.820] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:16.851] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:19.887] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:22.945] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:25.975] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:29.041] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:32.093] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
[2023-11-02 00:23:35.159] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xf5841dd0
